Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,61.5,67.5,58.0,67.5,67.5,17910
2002-07-02,67.5,74.0,64.0,66.0,66.0,14040
2002-07-03,66.0,73.0,66.0,70.0,70.0,13437
2002-07-04,70.0,76.0,67.0,69.0,69.0,6334
2002-07-05,69.5,72.0,68.5,71.0,71.0,8586
2002-07-08,70.0,82.5,70.0,81.0,81.0,19579
2002-07-09,77.5,89.0,74.0,75.0,75.0,16705
2002-07-10,78.5,85.0,74.0,78.5,78.5,10672
2002-07-11,76.0,78.5,72.5,73.5,73.5,5018
2002-07-12,73.0,75.0,70.0,70.5,70.5,2606
2002-07-15,72.0,72.0,63.5,63.5,63.5,3089
2002-07-16,63.0,63.5,57.5,58.5,58.5,2757
2002-07-17,59.0,64.0,58.5,61.0,61.0,3860
2002-07-18,64.0,67.0,56.0,59.0,59.0,2506
2002-07-19,58.0,61.0,53.5,55.0,55.0,3782
2002-07-22,52.5,54.0,49.5,49.5,49.5,3803
2002-07-23,52.5,52.5,48.5,50.5,50.5,1920
2002-07-24,49.0,52.0,49.0,50.0,50.0,1300
2002-07-25,50.0,55.0,45.0,46.0,46.0,3582
2002-07-26,48.0,51.0,43.5,45.5,45.5,1414
2002-07-29,41.0,45.5,41.0,44.5,44.5,446
2002-07-30,49.0,49.0,40.0,40.0,40.0,2863
2002-07-31,40.0,43.0,36.0,39.5,39.5,2506
2002-08-01,40.5,42.5,40.0,41.0,41.0,2512
2002-08-02,39.5,41.0,38.5,40.0,40.0,542
2002-08-05,39.0,44.0,39.0,42.5,42.5,1271
2002-08-06,45.5,45.5,40.0,43.0,43.0,1414
2002-08-07,47.5,47.5,43.5,44.0,44.0,1043
2002-08-08,45.0,45.0,41.0,41.5,41.5,258
2002-08-09,44.5,44.5,38.0,38.0,38.0,1100
2002-08-12,41.0,41.0,38.5,38.5,38.5,331
2002-08-13,40.0,42.0,38.5,39.0,39.0,1477
2002-08-14,40.0,41.5,35.5,39.5,39.5,795
2002-08-15,39.5,39.5,39.5,39.5,39.5,0
