Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,105.0,106.5,103.0,103.125,70.92536163330078,196730
2008-01-02,105.625,105.625,96.375,98.875,68.00238037109375,216105
2008-01-03,97.5,98.75,92.75,95.625,65.76713562011719,122751
2008-01-04,97.5,98.5,93.5,93.75,64.47759246826172,101426
2008-01-07,96.125,97.5,88.5,93.125,64.04773712158203,75388
2008-01-08,95.0,95.0,87.125,87.625,60.26506042480469,78320
2008-01-09,85.25,88.0,83.25,85.0,58.45969772338867,63238
2008-01-10,83.125,87.375,80.25,83.25,57.2561149597168,48289
2008-01-11,83.75,83.875,76.125,77.5,53.30146789550781,56240
2008-01-14,78.75,85.0,77.5,84.0,57.77192687988281,59252
2008-01-15,85.5,86.875,81.0,82.5,56.740291595458984,39733
2008-01-16,77.5,80.5,76.375,78.375,53.90328598022461,28527
2008-01-17,79.5,81.75,78.25,79.375,54.591041564941406,31837
2008-01-18,78.0,81.25,76.5,77.5,53.30146789550781,40268
2008-01-21,75.125,76.875,70.0,70.125,48.22924041748047,41509
2008-01-22,70.0,70.125,63.125,63.125,43.414913177490234,7356
2008-01-23,68.5,68.75,57.75,63.125,43.414913177490234,39052
2008-01-24,66.25,67.5,62.25,62.5,42.98506546020508,56162
2008-01-25,63.75,65.0,60.625,65.0,44.70447540283203,44543
2008-01-28,63.75,64.375,61.875,64.375,44.27461624145508,14083
2008-01-29,63.75,63.875,62.625,63.75,43.844764709472656,18997
2008-01-30,62.5,63.75,61.875,62.375,42.89909362792969,12676
2008-01-31,63.75,63.75,60.625,61.875,42.555213928222656,7223
2008-02-01,62.5,62.5,60.25,60.375,41.52357864379883,11810
2008-02-04,60.25,62.125,60.25,61.0,41.95342254638672,20156
2008-02-05,62.0,62.0,60.25,60.25,41.43760299682617,22318
2008-02-06,58.75,61.25,57.5,61.25,42.1253662109375,16958
2008-02-07,61.75,62.5,60.25,60.25,41.43760299682617,12050
2008-02-08,59.125,59.625,57.0,57.5,39.54625701904297,46734
2008-02-11,55.625,57.5,54.5,54.875,37.74088668823242,21562
2008-02-12,53.875,56.25,53.75,55.875,38.42864990234375,9914
2008-02-13,55.875,55.875,53.875,55.0,37.82685470581055,12360
2008-02-14,56.25,56.625,55.0,56.0,38.514617919921875,13661
2008-02-15,56.0,59.375,55.25,59.25,40.749839782714844,11823
2008-02-18,59.75,59.75,57.5,58.375,40.14805221557617,10361
2008-02-19,57.75,60.625,57.25,60.0,41.26565933227539,31677
2008-02-20,60.5,63.625,57.75,60.0,41.26565933227539,10266
2008-02-21,60.0,62.25,59.375,60.0,41.26565933227539,135685
2008-02-22,60.0,60.875,58.5,59.25,40.749839782714844,23716
2008-02-25,60.0,60.0,57.75,59.5,40.921783447265625,13550
2008-02-26,60.0,61.0,58.875,59.0,40.57789993286133,4852
2008-02-27,58.5,61.25,58.5,59.625,41.00775146484375,8264
2008-02-28,63.75,63.75,59.0,60.25,41.43760299682617,5550
2008-02-29,59.5,60.25,58.125,58.75,40.405967712402344,11346
2008-03-03,60.875,60.875,57.5,58.125,39.976104736328125,22317
2008-03-04,57.75,59.0,53.25,56.375,38.772525787353516,18777
2008-03-05,55.75,56.75,54.125,55.0,37.82685470581055,20483
2008-03-07,58.75,58.75,52.0,54.625,37.56895065307617,46717
2008-03-10,52.0,54.625,50.375,53.25,36.6232795715332,10279
2008-03-11,52.5,54.875,51.5,53.875,37.053123474121094,9712
2008-03-12,55.0,55.25,53.75,54.25,37.311031341552734,20430
2008-03-13,54.5,54.5,50.25,50.75,34.90386962890625,19901
2008-03-14,51.625,51.625,49.5,50.125,34.474021911621094,30989
2008-03-17,49.75,50.875,47.75,49.125,33.78626251220703,16944
2008-03-18,51.875,51.875,47.75,48.5,33.356407165527344,23716
2008-03-19,48.75,49.5,45.625,46.25,31.808942794799805,9568
2008-03-24,45.25,50.0,45.0,45.0,30.949243545532227,19870
2008-03-25,46.0,46.875,44.0,46.0,31.637008666992188,30585
2008-03-26,47.375,49.25,46.0,47.375,32.582679748535156,27396
2008-03-27,52.375,52.375,46.25,47.5,32.66865158081055,39521
2008-03-28,48.75,51.875,47.625,51.25,35.24775314331055,22786
2008-03-31,51.25,54.75,48.75,53.0,36.45132827758789,30340
2008-04-01,53.0,54.0,50.25,52.25,35.93552017211914,10810
2008-04-02,52.75,53.0,51.125,51.125,35.16178512573242,9572
2008-04-03,51.875,52.25,49.25,49.25,33.87223815917969,8018
2008-04-04,49.5,50.125,47.75,47.875,32.92655944824219,11992
2008-04-07,47.875,49.0,47.875,49.0,33.700294494628906,6634
2008-04-08,48.75,49.25,48.0,48.0,33.012535095214844,7679
2008-04-09,48.125,49.5,48.125,49.0,33.700294494628906,4344
2008-04-10,48.75,50.25,48.125,49.75,34.21611785888672,7542
2008-04-11,50.0,50.5,49.125,49.5,34.04417419433594,6541
2008-04-15,47.875,52.125,47.5,52.125,35.84954071044922,23174
2008-04-16,53.0,54.5,49.75,50.0,34.38804244995117,32046
2008-04-17,53.25,53.25,50.0,50.125,34.474021911621094,74646
2008-04-21,51.25,53.875,51.125,52.25,35.93552017211914,65650
2008-04-22,52.5,53.75,51.75,52.5,36.10745620727539,40948
2008-04-23,52.5,53.75,51.25,52.25,35.93552017211914,30048
2008-04-24,53.0,53.0,51.5,51.5,35.41969680786133,13779
2008-04-25,51.625,53.0,51.625,52.875,36.3653678894043,22392
2008-04-28,53.375,53.75,51.5,51.75,35.59163284301758,30056
2008-04-29,51.75,51.875,50.375,50.875,34.98983383178711,16718
2008-04-30,52.125,52.125,50.125,50.75,34.90386962890625,15725
2008-05-02,51.25,51.5,50.125,50.75,34.90386962890625,18774
2008-05-05,51.0,51.25,50.625,51.0,35.075809478759766,11902
2008-05-06,50.5,51.5,50.5,51.125,35.16178512573242,6962
2008-05-07,51.25,51.25,50.5,50.875,34.98983383178711,25157
2008-05-08,50.625,51.875,50.625,51.25,35.24775314331055,12737
2008-05-09,52.5,53.0,50.75,51.875,35.67759704589844,19412
2008-05-12,51.25,53.75,49.5,52.375,36.021480560302734,109165
2008-05-13,53.5,63.125,53.125,59.625,41.00775146484375,654161
2008-05-14,60.5,64.125,59.5,61.875,42.555213928222656,341156
2008-05-15,62.25,63.75,61.625,62.5,42.98506546020508,150305
2008-05-16,62.625,72.625,62.625,71.5,49.17491912841797,572493
2008-05-20,70.5,71.875,66.375,67.0,46.07999038696289,306137
2008-05-21,57.5,60.0,46.25,53.0,36.45132827758789,437650
2008-05-22,46.25,54.5,46.25,52.0,35.763572692871094,106741
2008-05-23,52.25,53.375,49.0,50.0,34.38804244995117,127108
2008-05-26,48.75,49.75,47.0,49.25,33.87223815917969,72353
2008-05-27,51.75,51.75,46.875,48.25,33.18446731567383,72438
2008-05-28,47.75,47.75,46.25,46.5,31.980878829956055,62174
2008-05-29,46.5,48.5,45.25,45.25,31.121187210083008,38076
2008-05-30,46.75,47.125,44.125,44.875,30.863279342651367,49409
2008-06-02,45.625,46.125,42.125,43.375,29.831632614135742,41945
2008-06-03,37.5,42.125,37.5,39.625,27.252531051635742,49888
2008-06-04,39.625,40.25,38.125,38.125,26.220888137817383,27620
2008-06-05,38.0,39.25,37.625,39.25,26.994619369506836,32570
2008-06-06,40.0,40.0,37.625,38.75,26.650733947753906,33014
2008-06-09,37.375,37.375,34.875,36.75,25.275209426879883,60767
2008-06-10,37.5,43.75,37.5,40.5,27.85432243347168,114363
2008-06-11,42.0,42.125,40.375,41.0,28.198204040527344,42621
2008-06-12,39.75,40.75,38.75,40.0,27.51044273376465,16547
2008-06-13,40.0,41.125,39.125,39.375,27.080589294433594,14477
2008-06-16,39.375,40.25,39.125,39.5,27.16655731201172,16229
2008-06-17,39.375,40.0,39.0,39.625,27.252531051635742,8871
2008-06-18,40.0,42.0,39.5,40.5,27.85432243347168,23539
2008-06-19,39.25,40.125,38.625,38.875,26.736711502075195,22488
2008-06-20,38.375,39.375,37.0,37.375,25.705066680908203,27038
2008-06-23,37.5,37.5,34.0,35.0,24.071638107299805,24383
2008-06-24,35.25,36.125,34.375,34.875,23.985666275024414,9601
2008-06-25,31.75,41.875,31.75,41.875,28.79999351501465,64503
2008-06-26,49.375,49.5,43.5,44.75,30.77730941772461,341588
2008-06-27,42.0,42.25,40.0,40.5,27.85432243347168,52533
2008-06-30,38.875,39.875,36.25,37.875,26.0489501953125,38047
2008-07-01,37.5,37.5,31.25,32.25,22.18029022216797,117482
2008-07-02,33.5,35.0,31.25,34.875,23.985666275024414,42902
2008-07-03,33.5,35.625,30.125,34.0,23.38387680053711,45289
2008-07-04,34.875,34.875,32.5,33.75,23.21193504333496,29966
2008-07-07,37.0,40.125,33.75,35.0,24.071638107299805,45533
2008-07-08,33.0,34.625,31.25,34.0,23.38387680053711,53910
2008-07-09,34.75,36.25,33.0,35.5,24.415515899658203,15152
2008-07-10,35.125,36.25,34.625,34.75,23.89969825744629,20060
2008-07-11,35.0,36.25,34.125,34.75,23.89969825744629,14283
2008-07-14,37.25,37.25,33.125,34.0,23.38387680053711,24748
2008-07-15,35.75,35.75,33.125,33.125,22.782081604003906,11441
2008-07-16,32.5,34.0,32.5,33.25,22.868057250976562,13120
2008-07-17,30.5,33.75,30.5,33.125,22.782081604003906,20597
2008-07-18,32.875,33.75,32.5,32.875,22.610143661499023,11098
2008-07-21,32.875,33.625,32.75,32.75,22.5241756439209,5556
2008-07-22,32.75,33.75,31.375,33.75,23.21193504333496,12482
2008-07-23,33.0,36.5,33.0,35.375,24.329545974731445,40283
2008-07-24,36.875,36.875,33.75,35.25,24.24357795715332,16396
2008-07-25,33.75,35.5,33.75,34.25,23.555814743041992,17059
2008-07-28,36.0,39.125,32.5,37.375,25.705066680908203,231741
2008-07-29,37.375,37.375,37.375,37.375,25.705066680908203,0
2008-07-30,37.375,37.375,37.375,37.375,25.705066680908203,0
2008-07-31,37.375,37.375,37.375,37.375,25.705066680908203,0
2008-08-01,37.375,37.375,37.375,37.375,25.705066680908203,0
2008-08-04,37.375,37.375,37.375,37.375,25.705066680908203,0
2008-08-05,37.375,37.375,37.375,37.375,25.705066680908203,0
2008-08-06,37.375,37.375,37.375,37.375,26.321285247802734,0
2008-08-07,37.375,37.375,37.375,37.375,26.321285247802734,0
2008-08-08,37.375,37.375,37.375,37.375,26.321285247802734,0
2008-08-11,37.375,37.375,37.375,37.375,26.321285247802734,0
2008-08-12,37.375,37.375,37.375,37.375,26.321285247802734,0
2008-08-13,37.375,37.375,37.375,37.375,26.321285247802734,0
2008-08-14,37.375,37.375,37.375,37.375,26.321285247802734,0
2008-08-18,38.625,42.0,38.5,38.5,27.113567352294922,45615
2008-08-19,37.875,39.25,37.625,38.875,27.377660751342773,10374
2008-08-20,38.375,39.25,38.25,38.875,27.377660751342773,12699
2008-08-21,38.125,38.875,36.75,37.125,26.145225524902344,8996
2008-08-22,36.25,37.25,35.5,36.5,25.70507049560547,8891
2008-08-25,37.625,38.0,36.0,37.0,26.05719566345215,10081
2008-08-26,36.0,36.625,35.25,35.875,25.26491355895996,9195
2008-08-27,36.25,37.25,35.0,35.125,24.736722946166992,10103
2008-08-28,35.125,36.125,35.0,35.625,25.088855743408203,3664
2008-08-29,35.0,36.25,35.0,35.5,25.00082015991211,8598
2008-09-01,35.375,36.125,35.0,35.25,24.824758529663086,6466
2008-09-02,35.125,35.75,35.0,35.0,24.648698806762695,11165
2008-09-04,35.25,35.5,35.0,35.125,24.736722946166992,14159
2008-09-05,35.0,35.875,34.75,35.125,24.736722946166992,9197
2008-09-08,42.25,42.25,36.0,36.0,25.352949142456055,9235
2008-09-09,35.75,36.375,35.0,35.5,25.00082015991211,12072
2008-09-10,35.75,36.125,35.25,36.125,25.440980911254883,4638
2008-09-11,35.0,36.125,32.5,35.25,24.824758529663086,9024
2008-09-12,35.25,35.875,34.625,35.0,24.648698806762695,7111
2008-09-15,33.75,34.5,32.5,32.75,23.06414031982422,17353
2008-09-16,32.5,32.875,31.25,32.125,22.623977661132812,9101
2008-09-17,32.5,32.75,31.75,32.5,22.888078689575195,7433
2008-09-18,31.0,35.0,30.125,31.625,22.27185821533203,21950
2008-09-19,31.625,34.125,31.5,32.0,22.53594970703125,17608
2008-09-22,32.375,33.375,31.625,32.125,22.623977661132812,15094
2008-09-23,32.25,32.25,30.625,31.125,21.919734954833984,4571
2008-09-24,34.0,34.0,28.75,30.5,21.47957992553711,5721
2008-09-25,32.125,32.125,30.0,30.5,21.47957992553711,14285
2008-09-26,29.875,31.25,29.875,30.0,21.127452850341797,11080
2008-09-29,29.25,29.375,26.25,28.5,20.07107925415039,16401
2008-09-30,28.25,28.25,25.125,27.125,19.102741241455078,15756
2008-10-01,27.5,30.0,26.625,29.625,20.863361358642578,11150
2008-10-03,29.5,29.5,26.625,27.5,19.36683464050293,12683
2008-10-06,29.375,29.375,26.375,27.25,19.19076919555664,11681
2008-10-07,24.5,27.5,24.5,24.5,17.254087448120117,14833
2008-10-08,22.5,25.625,22.0,23.75,16.725900650024414,19303
2008-10-10,27.125,27.125,20.25,22.5,15.845587730407715,17707
2008-10-13,22.0,25.5,21.625,24.25,17.078025817871094,34253
2008-10-14,24.75,27.75,24.75,27.25,19.19076919555664,13976
2008-10-15,26.875,32.25,25.0,31.0,21.83170509338379,98594
2008-10-16,26.875,30.25,26.0,29.625,20.863361358642578,48458
2008-10-17,25.625,30.75,25.625,27.25,19.19076919555664,37466
2008-10-20,27.5,28.875,26.25,27.0,19.01470947265625,15896
2008-10-21,27.5,27.75,25.75,27.375,19.278804779052734,13249
2008-10-22,27.5,27.5,25.625,27.25,19.19076919555664,5122
2008-10-23,25.25,26.75,25.25,25.5,17.958335876464844,7212
2008-10-24,25.0,25.375,20.625,22.5,15.845587730407715,25592
2008-10-27,22.0,23.125,17.875,19.5,13.732843399047852,48692
2008-10-29,21.625,22.625,20.5,22.5,15.845587730407715,13982
2008-10-31,22.5,24.375,18.25,22.5,15.845587730407715,9372
2008-11-03,24.625,26.0,22.625,25.0,17.60620880126953,15889
2008-11-04,25.0,26.125,24.125,25.75,18.134401321411133,25547
2008-11-05,28.125,28.125,24.375,24.625,17.342121124267578,10222
2008-11-06,23.75,24.875,22.875,24.875,17.5181827545166,4174
2008-11-07,25.0,25.0,23.875,24.625,17.342121124267578,5417
2008-11-10,25.0,26.125,24.75,25.0,17.60620880126953,5806
2008-11-11,25.0,25.875,23.5,23.75,16.725900650024414,6950
2008-11-12,22.5,24.375,22.5,22.625,15.933624267578125,7303
2008-11-14,24.625,24.625,22.125,22.5,15.845587730407715,12530
2008-11-17,23.375,23.375,21.625,22.5,15.845587730407715,4834
2008-11-18,22.375,22.375,20.25,20.875,14.701184272766113,5886
2008-11-19,23.375,23.75,20.375,21.0,14.789216041564941,5832
2008-11-20,20.75,22.5,19.75,22.5,15.845587730407715,7935
2008-11-21,22.25,22.5,20.125,22.5,15.845587730407715,11070
2008-11-24,22.5,22.75,21.25,22.75,16.02165412902832,4478
2008-11-25,22.5,23.0,21.75,22.5,15.845587730407715,3433
2008-11-26,22.5,22.5,20.125,21.625,15.229375839233398,2295
2008-11-27,21.625,21.625,21.625,21.625,15.229375839233398,0
2008-11-28,20.625,22.375,20.625,21.875,15.405437469482422,3435
2008-12-01,20.875,22.375,20.875,22.375,15.757562637329102,1067
2008-12-02,22.125,22.5,21.25,21.75,15.317400932312012,1484
2008-12-03,21.375,23.0,21.375,22.25,15.669527053833008,1181
2008-12-04,22.5,22.75,21.625,22.75,16.02165412902832,3231
2008-12-05,22.5,23.875,21.625,23.875,16.81393051147461,5097
2008-12-08,23.75,23.75,18.125,22.5,15.845587730407715,10804
2008-12-10,22.5,22.875,22.0,22.125,15.581496238708496,32862
2008-12-11,22.0,23.0,22.0,22.75,16.02165412902832,1346
2008-12-12,23.125,23.5,22.5,23.5,16.54983901977539,5837
2008-12-15,23.25,24.125,22.875,22.875,16.109682083129883,18872
2008-12-16,24.875,24.875,23.375,24.0,16.901962280273438,12657
2008-12-17,25.0,25.0,23.75,24.375,17.166057586669922,22139
2008-12-18,24.375,24.625,23.0,24.25,17.078025817871094,14667
2008-12-19,23.5,24.75,23.5,23.625,16.63787269592285,4198
